category_id,category,capability_director,skill_id,slug,name,output,maximum_action_tier,proactivity_default
finance,"Finance, Treasury, Accounting, and Tax",Liquidity and Cash Operations,SK-FINANCE-CASH-POSITION-RECONCILIATION,finance-cash-position-reconciliation,Cash Position Reconciliation,cash_position_reconciliation_packet.v1,A1,P0
finance,"Finance, Treasury, Accounting, and Tax",Liquidity and Cash Operations,SK-FINANCE-LIQUIDITY-FORECAST-EXCEPTION,finance-liquidity-forecast-exception,Liquidity Forecast Exception,liquidity_forecast_exception_packet.v1,A1,P0
finance,"Finance, Treasury, Accounting, and Tax",Liquidity and Cash Operations,SK-FINANCE-BANK-FEE-ANOMALY-REVIEW,finance-bank-fee-anomaly-review,Bank Fee Anomaly Review,bank_fee_anomaly_review_packet.v1,A0,P1
finance,"Finance, Treasury, Accounting, and Tax",Payables and Disbursements,SK-FINANCE-AP-INVOICE-MATCH-EXCEPTION,finance-ap-invoice-match-exception,Ap Invoice Match Exception,ap_invoice_match_exception_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Payables and Disbursements,SK-FINANCE-PAYMENT-EXCEPTION-PREPARATION,finance-payment-exception-preparation,Payment Exception Preparation,payment_exception_preparation_packet.v1,A1,P0
finance,"Finance, Treasury, Accounting, and Tax",Payables and Disbursements,SK-FINANCE-PAYMENT-FRAUD-EVIDENCE-TRIAGE,finance-payment-fraud-evidence-triage,Payment Fraud Evidence Triage,payment_fraud_evidence_triage_packet.v1,A0,P2
finance,"Finance, Treasury, Accounting, and Tax",Receivables and Credit Operations,SK-FINANCE-AR-COLLECTIONS-PRIORITIZATION,finance-ar-collections-prioritization,Ar Collections Prioritization,ar_collections_prioritization_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Receivables and Credit Operations,SK-FINANCE-CREDIT-EXPOSURE-MONITORING,finance-credit-exposure-monitoring,Credit Exposure Monitoring,credit_exposure_monitoring_packet.v1,A0,P1
finance,"Finance, Treasury, Accounting, and Tax",Receivables and Credit Operations,SK-FINANCE-BILLING-DISPUTE-ANALYSIS,finance-billing-dispute-analysis,Billing Dispute Analysis,billing_dispute_analysis_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Record to Report,SK-FINANCE-REVENUE-CLOSE-TIE-OUT,finance-revenue-close-tie-out,Revenue Close Tie Out,revenue_close_tie_out_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Record to Report,SK-FINANCE-JOURNAL-ENTRY-SUPPORT-PACK,finance-journal-entry-support-pack,Journal Entry Support Pack,journal_entry_support_pack_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Record to Report,SK-FINANCE-INTERCOMPANY-RECONCILIATION,finance-intercompany-reconciliation,Intercompany Reconciliation,intercompany_reconciliation_packet.v1,A1,P0
finance,"Finance, Treasury, Accounting, and Tax",Record to Report,SK-FINANCE-FIXED-ASSET-LIFECYCLE-REVIEW,finance-fixed-asset-lifecycle-review,Fixed Asset Lifecycle Review,fixed_asset_lifecycle_review_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Record to Report,SK-FINANCE-EXPENSE-POLICY-AUDIT,finance-expense-policy-audit,Expense Policy Audit,expense_policy_audit_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Record to Report,SK-FINANCE-CLOSE-READINESS-ASSESSMENT,finance-close-readiness-assessment,Close Readiness Assessment,close_readiness_assessment_packet.v1,A0,P1
finance,"Finance, Treasury, Accounting, and Tax",Planning and Performance,SK-FINANCE-VARIANCE-COMMENTARY-DRAFT,finance-variance-commentary-draft,Variance Commentary Draft,variance_commentary_draft_packet.v1,A1,P0
finance,"Finance, Treasury, Accounting, and Tax",Planning and Performance,SK-FINANCE-FORECAST-ROLLUP-QUALITY-CHECK,finance-forecast-rollup-quality-check,Forecast Rollup Quality Check,forecast_rollup_quality_check_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Planning and Performance,SK-FINANCE-WORKING-CAPITAL-ACTION-PLAN,finance-working-capital-action-plan,Working Capital Action Plan,working_capital_action_plan_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Treasury and Controls,SK-FINANCE-COVENANT-COMPLIANCE-CHECK,finance-covenant-compliance-check,Covenant Compliance Check,covenant_compliance_check_packet.v1,A0,P2
finance,"Finance, Treasury, Accounting, and Tax",Tax Operations,SK-FINANCE-TAX-DATA-READINESS,finance-tax-data-readiness,Tax Data Readiness,tax_data_readiness_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Tax Operations,SK-FINANCE-INDIRECT-TAX-EXCEPTION-REVIEW,finance-indirect-tax-exception-review,Indirect Tax Exception Review,indirect_tax_exception_review_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Audit and Assurance,SK-FINANCE-AUDIT-PBC-COMPILATION,finance-audit-pbc-compilation,Audit Pbc Compilation,audit_pbc_compilation_packet.v1,A0,P0
finance,"Finance, Treasury, Accounting, and Tax",Master Data Controls,SK-FINANCE-VENDOR-MASTER-CHANGE-VALIDATION,finance-vendor-master-change-validation,Vendor Master Change Validation,vendor_master_change_validation_packet.v1,A0,P1
finance,"Finance, Treasury, Accounting, and Tax",Finance Governance,SK-FINANCE-FINANCIAL-POLICY-QUERY-TRIAGE,finance-financial-policy-query-triage,Financial Policy Query Triage,financial_policy_query_triage_packet.v1,A0,P2
finance,"Finance, Treasury, Accounting, and Tax",Executive Finance Reporting,SK-FINANCE-MANAGEMENT-REPORTING-PACK,finance-management-reporting-pack,Management Reporting Pack,management_reporting_pack_packet.v1,A0,P0
procurement,"Procurement, Supplier Management, and Third-Party Risk",Demand and Category Management,SK-PROCUREMENT-DEMAND-INTAKE-QUALIFICATION,procurement-demand-intake-qualification,Demand Intake Qualification,demand_intake_qualification_packet.v1,A1,P0
procurement,"Procurement, Supplier Management, and Third-Party Risk",Demand and Category Management,SK-PROCUREMENT-SOURCING-EVENT-DESIGN,procurement-sourcing-event-design,Sourcing Event Design,sourcing_event_design_packet.v1,A0,P0
procurement,"Procurement, Supplier Management, and Third-Party Risk",Supplier Lifecycle Management,SK-PROCUREMENT-SUPPLIER-ONBOARDING-READINESS,procurement-supplier-onboarding-readiness,Supplier Onboarding Readiness,supplier_onboarding_readiness_packet.v1,A0,P0
